id,text
1,Kargom hala elime ulaşmadı
2,Sipariş takip numaram sistemde görünmüyor
3,Paketim yanlış adrese teslim edilmiş
4,Kurye kapıyı çalmadan teslim edilemedi olarak işaretlemiş
5,Teslimat tarihi sürekli ileriye atılıyor
6,Kargo firmasını değiştirebilir miyim
7,Siparişim iki ayrı paket halinde mi gelecek
8,Şubeden teslim alma seçeneği var mı
9,Gönderim ücreti neden bu kadar yüksek
10,Yurt dışına gönderim yapıyor musunuz
11,İade sürecini nasıl başlatabilirim
12,Ürünü kaç gün içinde geri gönderebilirim
13,Beden değişimi yapmak mümkün mü
14,İade kargo ücretini kim karşılıyor
15,Geri gönderdiğim ürün elinize ulaştı mı
16,Paramı ne zaman geri alacağım
17,Kullanılmış ürün iade edilebilir mi
18,Hediye olarak aldığım ürünü değiştirebilir miyim
19,İade formunu nereden indirebilirim
20,Farklı renk ile değişim yapmak istiyorum
21,Kredi kartımdan iki kez çekim yapılmış
22,Fatura adresimi değiştirmek istiyorum
23,Ödemem onaylandı ama sipariş görünmüyor
24,Taksit seçenekleri neden çıkmıyor
25,Kapıda ödeme yapabilir miyim
26,Kurumsal fatura kesilmesini istiyorum
27,Havale ile ödeme yaptım ama onaylanmadı
28,Kartımdan çekilen tutar sipariş tutarından fazla
29,E-arşiv faturama nereden ulaşırım
30,Ödeme sayfasında hata alıyorum
31,Şifremi unuttum giriş yapamıyorum
32,Hesabım askıya alınmış neden
33,Üyeliğimi tamamen silmek istiyorum
34,E-posta adresimi güncellemek istiyorum
35,Doğrulama kodu telefonuma gelmiyor
36,Aynı e-posta ile ikinci hesap açabilir miyim
37,Hesabıma başkası girmiş olabilir
38,Telefon numaramı değiştiremiyorum
39,Bildirim tercihlerimi nereden ayarlarım
40,Üyelik avantajları nelerdir
41,Ürün hasarlı geldi kutusu ezilmişti
42,Ürün açıklamadaki renkten farklı geldi
43,Gelen üründe eksik parça var
44,Ürünün orijinal olmadığını düşünüyorum
45,Ambalaj açılmış görünüyor
46,Ürün ilk kullanımda bozuldu
47,Beden tablosu gerçeği yansıtmıyor
48,Ürün fotoğraftakinden çok daha küçük
49,Kumaş kalitesi beklediğim gibi değil
50,Son kullanma tarihi geçmiş ürün gönderilmiş
51,Kampanya kodu sepette geçerli olmadı
52,İndirimli aldığım ürün sipariş sonrası zamlandı
53,Hediye çekimi nasıl kullanırım
54,Bedava gönderim kampanyası devam ediyor mu
55,Sepetimdeki ürünün fiyatı değişti
56,Bu ürün iki al bir öde kampanyasına dahil mi
57,Puanlarım hesabıma yansımadı
58,Öğrenci indirimi var mı
59,Garanti kapsamında tamir talebi oluşturmak istiyorum
60,Garanti belgesi paketten çıkmadı
61,En yakın yetkili servis nerede
62,Garanti süresi ne kadar
63,Tamire gönderdiğim ürün ne zaman döner
64,Garanti kapsamı dışında olduğu söylenip ücret istendi
65,Ürünün yedek parçasını nereden alabilirim
66,Kullanım kılavuzuna nereden ulaşabilirim
67,Siparişimi iptal etmek istiyorum
68,Tükenen ürün tekrar gelecek mi
69,Teslimat adresimi güncelleyebilir miyim
70,Siparişime ürün ekleyebilir miyim
71,Ön sipariş verdiğim ürün ne zaman gönderilir
72,Müşteri hizmetlerine nasıl ulaşabilirim
