query,relevant_ids
kargo gecikmesi,1;5
paketim nerede,1;2
yanlış adrese teslimat,3
paramı geri istiyorum,16;11
ürünü geri göndermek istiyorum,11;12
kıyafet küçük geldi,47;48
çift çekim yapıldı,21;28
fatura bilgilerimi güncelleme,22;29
hesabıma giremiyorum,31;35
güvenlik ihlali şüphesi,37
bozuk ürün geldi,46;41
kutu ezilmiş halde geldi,41;45
renk farklı,42;20
indirim kodu çalışmıyor,51;53
ücretsiz kargo,54;9
tamir ve servis,59;61;63
siparişi durdurmak istiyorum,67
adres değiştirme,69;22
ürün ne zaman stoklara girecek,68
size nasıl ulaşabilirim,72
taksitli alışveriş,24
ödeme yaparken sorun,30;27
üyelikten çıkmak istiyorum,33
sahte ürün şüphesi,44
yurt dışı gönderim,10
garanti süresi,62;60
